Equipo,Plan,Plan_Tarifario,PRECIO_CONTADO_EQUIPO,PRECIO_ONLINE_EQUIPO,CANTIDAD_CUOTA,CUOTA_INICIAL,PRECIO_CUOTA
Apple iPhone 14 Pro Max 256GB,CUOTA,65.9,,,12,3479,320
Apple iPhone 14 Pro Max 256GB,CONTADO,99.9,,,,5519,
Apple iPhone 14 Pro Max 256GB,CUOTA,99.9,,,12,0,819
Apple iPhone 14 Pro Max 256GB,CUOTA,99.9,,,18,2999,245
Apple iPhone 14 Pro Max 256GB,CONTADO,159.9,,,,5519,
Apple iPhone 14 Pro Max 256GB,CUOTA,159.9,,,12,0,819
Apple iPhone 14 Pro Max 256GB,CUOTA,159.9,,,18,2999,245
Apple iPhone 14 Pro Max 512GB,CONTADO,41.9,,,,0,
Apple iPhone 14 Pro Max 512GB,CONTADO,55.9,,,,6309,
Apple iPhone 14 Pro Max 512GB,CONTADO,65.9,,,,6309,
Apple iPhone 14 Pro Max 512GB,CONTADO,99.9,,,,6309,
Apple iPhone 14 Pro Max 512GB,CUOTA,99.9,,,12,3939,363
Apple iPhone 14 Pro Max 512GB,CUOTA,99.9,,,18,3499,286
Apple iPhone 14 Pro Max 512GB,CONTADO,159.9,,,,6309,
Apple iPhone 14 Pro Max 512GB,CUOTA,159.9,,,12,3939,363
Apple iPhone 14 Pro Max 512GB,CUOTA,159.9,,,18,3499,286
Motorola Moto E22i,CONTADO,41.9,702,379,dto.,46%,
Motorola Moto E22i,CUOTA,41.9,,,12,0,53
Motorola Moto E22i,CONTADO,55.9,702,379,dto.,46%,
Motorola Moto E22i,CUOTA,55.9,,,12,0,53
Motorola Moto E22i,CUOTA,55.9,,,18,79,35
Motorola Moto E22i,CONTADO,65.9,702,379,dto.,46%,
Motorola Moto E22i,CUOTA,65.9,,,12,0,53
Motorola Moto E22i,CONTADO,99.9,702,379,dto.,46%,
Motorola Moto E22i,CUOTA,99.9,,,12,0,53
Motorola Moto E22i,CUOTA,99.9,,,18,39,35
Motorola Moto E22i,CUOTA,159.5,,,12,0,53
Motorola Moto E22i,CONTADO,159.9,702,379,dto.,46%,
Motorola Moto E22i,CUOTA,159.9,,,12,0,55
Motorola Moto E22i,CUOTA,159.9,,,18,39,35
HONOR 70 256GB,CONTADO,41.9,,,,1999,
HONOR 70 256GB,CONTADO,55.9,,,,1999,
HONOR 70 256GB,CUOTA,55.9,,,12,0,258
HONOR 70 256GB,CUOTA,55.9,,,18,779,130
HONOR 70 256GB,CONTADO,65.9,,,,1999,
HONOR 70 256GB,CUOTA,65.9,,,12,0,258
HONOR 70 256GB,CONTADO,99.9,,,,1999,
HONOR 70 256GB,CUOTA,99.9,,,12,0,258
HONOR 70 256GB,CUOTA,99.9,,,18,409,129
HONOR 70 256GB,CONTADO,159.9,,,,1999,
HONOR 70 256GB,CUOTA,159.9,,,12,0,258
HONOR 70 256GB,CUOTA,159.9,,,18,269,128
Oppo Reno 7,CONTADO,41.9,3006,1329,dto.,56%,
Oppo Reno 7,CUOTA,41.9,,,12,0,155
Oppo Reno 7,CONTADO,55.9,3006,1329,dto.,56%,
Oppo Reno 7,CUOTA,55.9,,,12,0,155
Oppo Reno 7,CUOTA,55.9,,,18,549,92
Oppo Reno 7,CONTADO,65.9,3006,1329,dto.,56%,
Oppo Reno 7,CUOTA,65.9,,,12,0,155
Oppo Reno 7,CONTADO,99.9,3006,1329,dto.,56%,
Oppo Reno 7,CUOTA,99.9,,,12,0,155
Oppo Reno 7,CUOTA,99.9,,,18,289,91
Oppo Reno 7,CONTADO,159.5,3006,1299,dto.,57%,
Oppo Reno 7,CONTADO,159.9,3006,1329,dto.,56%,
Oppo Reno 7,CUOTA,159.9,,,12,0,155
Oppo Reno 7,CUOTA,159.9,,,18,179,91
Motorola Moto G23,CONTADO,41.9,569,0,dto.,52%,
Motorola Moto G23,CUOTA,41.9,,,12,0,79
Motorola Moto G23,CONTADO,55.9,569,0,dto.,52%,
Motorola Moto G23,CUOTA,55.9,,,12,0,79
Motorola Moto G23,CONTADO,65.9,509,0,dto.,52%,
Motorola Moto G23,CUOTA,65.9,,,12,0,79
Motorola Moto G23,CONTADO,99.9,469,0,dto.,52%,
Motorola Moto G23,CUOTA,99.9,,,12,0,79
Motorola Moto G23,CONTADO,159.5,1062,619,dto.,42%,
Motorola Moto G23,CONTADO,159.9,469,0,dto.,52%,
Motorola Moto G23,CUOTA,159.9,,,12,0,79
Samsung Galaxy Z Flip 4 128GB,CONTADO,41.9,,,,3439,
Samsung Galaxy Z Flip 4 128GB,CONTADO,55.9,,,,3439,
Samsung Galaxy Z Flip 4 128GB,CUOTA,55.9,,,12,0,449
Samsung Galaxy Z Flip 4 128GB,CONTADO,65.9,,,,3439,
Samsung Galaxy Z Flip 4 128GB,CUOTA,65.9,,,12,0,449
Samsung Galaxy Z Flip 4 128GB,CONTADO,99.9,,,,3439,
Samsung Galaxy Z Flip 4 128GB,CUOTA,99.9,,,12,0,449
Samsung Galaxy Z Flip 4 128GB,CONTADO,159.9,,,,3439,
Samsung Galaxy Z Flip 4 128GB,CUOTA,159.9,,,12,0,449
Samsung Galaxy Z Flip 4 256GB,CONTADO,41.9,,,,3759,
Samsung Galaxy Z Flip 4 256GB,CONTADO,55.9,,,,3759,
Samsung Galaxy Z Flip 4 256GB,CUOTA,55.9,,,12,0,485
Samsung Galaxy Z Flip 4 256GB,CONTADO,65.9,,,,3759,
Samsung Galaxy Z Flip 4 256GB,CUOTA,65.9,,,12,0,485
Samsung Galaxy Z Flip 4 256GB,CONTADO,99.9,,,,3759,
Samsung Galaxy Z Flip 4 256GB,CUOTA,99.9,,,12,0,485
Samsung Galaxy Z Flip 4 256GB,CONTADO,159.9,,,,3759,
Samsung Galaxy Z Flip 4 256GB,CUOTA,159.9,,,12,0,485
Oppo A77,CONTADO,41.9,1728,839,dto.,51%,
Oppo A77,CONTADO,55.9,1728,839,dto.,51%,
Oppo A77,CUOTA,55.9,,,12,0,105
Oppo A77,CONTADO,65.9,1728,839,dto.,51%,
Oppo A77,CUOTA,65.9,,,12,0,105
Oppo A77,CONTADO,99.9,1728,839,dto.,51%,
Oppo A77,CUOTA,99.9,,,12,0,105
Oppo A77,CONTADO,159.9,1728,839,dto.,51%,
Oppo A77,CUOTA,159.9,,,12,0,105
Xiaomi Redmi A2,CONTADO,41.9,,,,329,
Xiaomi Redmi A2,CONTADO,55.9,,,,329,
Xiaomi Redmi A2,CONTADO,65.9,,,,329,
Xiaomi Redmi A2,CONTADO,99.9,,,,329,
Xiaomi Redmi A2,CONTADO,159.9,,,,329,
Samsung Galaxy S23 128GB,CONTADO,41.9,8064,3399,dto.,58%,
Samsung Galaxy S23 128GB,CONTADO,55.9,8064,3399,dto.,58%,
Samsung Galaxy S23 128GB,CUOTA,55.9,,,12,0,438
Samsung Galaxy S23 128GB,CONTADO,65.9,8064,3399,dto.,58%,
Samsung Galaxy S23 128GB,CUOTA,65.9,,,12,0,438
Samsung Galaxy S23 128GB,CONTADO,99.9,8064,3399,dto.,58%,
Samsung Galaxy S23 128GB,CUOTA,99.9,,,12,0,438
Samsung Galaxy S23 128GB,CONTADO,159.9,8064,3399,dto.,58%,
Samsung Galaxy S23 128GB,CUOTA,159.9,,,12,0,438
Samsung Galaxy A23,CONTADO,41.9,1530,769,dto.,50%,
Samsung Galaxy A23,CONTADO,55.9,1530,769,dto.,50%,
Samsung Galaxy A23,CUOTA,55.9,,,12,0,108
Samsung Galaxy A23,CUOTA,55.9,,,18,189,55
Samsung Galaxy A23,CONTADO,65.9,1530,769,dto.,50%,
Samsung Galaxy A23,CUOTA,65.9,,,12,0,108
Samsung Galaxy A23,CONTADO,99.9,1530,769,dto.,50%,
Samsung Galaxy A23,CUOTA,99.9,,,12,0,108
Samsung Galaxy A23,CUOTA,99.9,,,18,119,55
Samsung Galaxy A23,CONTADO,159.9,1530,769,dto.,50%,
Samsung Galaxy A23,CUOTA,159.9,,,12,0,108
Samsung Galaxy A23,CUOTA,159.9,,,18,59,58
VIVO Y55,CONTADO,41.9,1620,989,dto.,39%,
VIVO Y55,CONTADO,55.9,1620,989,dto.,39%,
VIVO Y55,CUOTA,55.9,,,12,0,126
VIVO Y55,CUOTA,55.9,,,18,389,64
VIVO Y55,CONTADO,65.9,1620,989,dto.,39%,
VIVO Y55,CUOTA,65.9,,,12,0,126
VIVO Y55,CONTADO,99.9,1620,989,dto.,39%,
VIVO Y55,CUOTA,99.9,,,12,0,126
VIVO Y55,CUOTA,99.9,,,18,199,64
VIVO Y55,CONTADO,159.9,1620,989,dto.,39%,
VIVO Y55,CUOTA,159.9,,,12,0,126
VIVO Y55,CUOTA,159.9,,,18,139,63
Honor Magic 5 Lite,CONTADO,41.9,2281,1279,dto.,44%,
Honor Magic 5 Lite,CUOTA,41.9,,,12,0,163
Honor Magic 5 Lite,CONTADO,55.9,2281,1279,dto.,44%,
Honor Magic 5 Lite,CUOTA,55.9,,,12,0,168
Honor Magic 5 Lite,CONTADO,65.9,2281,1279,dto.,44%,
Honor Magic 5 Lite,CUOTA,65.9,,,12,0,168
Honor Magic 5 Lite,CONTADO,99.9,2281,1279,dto.,44%,
Honor Magic 5 Lite,CUOTA,99.9,,,12,0,168
Honor Magic 5 Lite,CUOTA,159.5,,,12,0,163
Honor Magic 5 Lite,CONTADO,159.9,2281,1279,dto.,44%,
Honor Magic 5 Lite,CUOTA,159.9,,,12,0,168
Oppo Reno 6 Lite,CONTADO,41.9,1656,1099,dto.,34%,
Oppo Reno 6 Lite,CONTADO,55.9,1656,1099,dto.,34%,
Oppo Reno 6 Lite,CUOTA,55.9,,,12,0,142
Oppo Reno 6 Lite,CUOTA,55.9,,,18,469,79
Oppo Reno 6 Lite,CONTADO,65.9,1656,1099,dto.,34%,
Oppo Reno 6 Lite,CUOTA,65.9,,,12,0,142
Oppo Reno 6 Lite,CONTADO,99.9,1656,1099,dto.,34%,
Oppo Reno 6 Lite,CUOTA,99.9,,,12,0,142
Oppo Reno 6 Lite,CUOTA,99.9,,,18,249,78
Oppo Reno 6 Lite,CONTADO,159.9,1656,1099,dto.,34%,
Oppo Reno 6 Lite,CUOTA,159.9,,,12,0,142
Oppo Reno 6 Lite,CUOTA,159.9,,,18,149,78
HONOR X9,CONTADO,41.9,2718,969,dto.,64%,
HONOR X9,CONTADO,55.9,2718,969,dto.,64%,
HONOR X9,CUOTA,55.9,,,12,0,126
HONOR X9,CONTADO,65.9,2718,969,dto.,64%,
HONOR X9,CUOTA,65.9,,,12,0,126
