General,Equipo,Plan,Plan_Tarifario,Modo_Cobro,Contado_CuotaInicial,ContadoOnline_CantidadCuota,ContadoOnline,CantidadCuota,ContadoOnline_CantidadCuota_v2
"Samsung Galaxy S21 FE 128GB|CUOTA|0 12 CUOTAS DE: 302|109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy S21 FE 128GB,CUOTA,109.9,,,,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 18 CUOTAS DE: 247|109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy S21 FE 128GB,CUOTA,109.9,,,,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179|129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy S21 FE 128GB,CONTADO,129.9,,,3780 2179,3780,2179,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 12 CUOTAS DE: 302|129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy S21 FE 128GB,CUOTA,129.9,,,,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 18 CUOTAS DE: 247|129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy S21 FE 128GB,CUOTA,129.9,,,,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179|159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy S21 FE 128GB,CONTADO,159.5,,,3780 2179,3780,2179,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 12 CUOTAS DE: 302|159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy S21 FE 128GB,CUOTA,159.5,,,,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 18 CUOTAS DE: 247|159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy S21 FE 128GB,CUOTA,159.5,,,,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179|209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy S21 FE 128GB,CONTADO,209.5,,,3780 2179,3780,2179,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 12 CUOTAS DE: 302|209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy S21 FE 128GB,CUOTA,209.5,,,,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|0 18 CUOTAS DE: 247|209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy S21 FE 128GB,CUOTA,209.5,,,,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749|39.9 Dto. por 12 meses, luego 31.95 31.95",Apple iPhone 13 Pro Max 128GB,CONTADO,39.9,,,5850 4749,5850,4749,
"Apple iPhone 13 Pro Max 128GB|CUOTA|4539 12 CUOTAS DE: 198|39.9 Dto. por 12 meses, luego 31.95 31.95",Apple iPhone 13 Pro Max 128GB,CUOTA,39.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749|55.9 Dto. por 12 meses, luego 44.75 44.75",Apple iPhone 13 Pro Max 128GB,CONTADO,55.9,,,5850 4749,5850,4749,
"Apple iPhone 13 Pro Max 128GB|CUOTA|4539 12 CUOTAS DE: 198|55.9 Dto. por 12 meses, luego 44.75 44.75",Apple iPhone 13 Pro Max 128GB,CUOTA,55.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|4539 18 CUOTAS DE: 171|55.9 Dto. por 12 meses, luego 44.75 44.75",Apple iPhone 13 Pro Max 128GB,CUOTA,55.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749|74.9 Dto. por 12 meses, luego 59.95 59.95",Apple iPhone 13 Pro Max 128GB,CONTADO,74.9,,,5850 4749,5850,4749,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 12 CUOTAS DE: 502|74.9 Dto. por 12 meses, luego 59.95 59.95",Apple iPhone 13 Pro Max 128GB,CUOTA,74.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 18 CUOTAS DE: 401|74.9 Dto. por 12 meses, luego 59.95 59.95",Apple iPhone 13 Pro Max 128GB,CUOTA,74.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749|89.9 Dto. por 12 meses, luego 71.95 71.95",Apple iPhone 13 Pro Max 128GB,CONTADO,89.9,,,5850 4749,5850,4749,
